PLTID,ANNPRE,ANNTMP,AUGMAXT,DECMINT,SMRTP,LAT,LON,ASPTR,DEM,PRR,SLPPCT,TPI150,TPI300,TPI450,TC1,TC2,TC3,NBR
156262,776,804,2504,-234,239,4493,-12216,23,1011,13731,33,7,34,71,1350,1137,-98,808
156265,693,1179,2815,132,346,4515,-12302,55,28,16249,1,0,0,0,2458,2057,-1005,534
156283,705,1183,2702,138,326,4524,-12256,196,132,14260,18,9,11,0,2024,1632,-684,649
156353,710,657,2495,-487,243,4230,-12223,55,1568,17112,2,0,0,0,1563,900,-586,529
156355,779,774,2420,-248,227,4429,-12207,0,1187,16022,55,14,33,11,1815,1596,-124,825
156377,776,906,2546,-78,247,4490,-12233,174,721,10430,62,-12,-51,-107,2123,1936,-473,766
156385,688,1149,3085,-33,348,4294,-12283,199,606,13548,21,-3,-5,0,1936,1518,-193,813
156430,765,780,2429,-229,233,4393,-12214,0,1078,17732,45,-11,-33,-48,1528,1298,-265,759
156439,680,921,2810,-267,303,4245,-12243,95,963,15387,8,4,-3,-24,1701,1361,-278,747
156476,731,726,2552,-376,242,4308,-12235,197,1482,12715,36,0,14,21,1485,1146,-145,770
156488,743,1035,2787,-36,285,4358,-12241,200,764,10080,10,0,-42,-78,1459,1217,-351,759
156541,710,710,2552,-420,252,4259,-12229,25,1462,16683,18,1,3,3,2095,1592,-400,663
156584,725,1086,2633,123,297,4354,-12323,3,465,17726,18,0,-2,-2,2804,879,-2401,132
156612,703,1066,2910,-49,317,4329,-12255,129,474,10413,6,-20,-55,-93,1100,882,-199,744
156616,721,929,2902,-423,331,4137,-12193,84,1262,16709,4,0,3,5,1708,1152,-415,630
156625,722,489,2277,-850,236,4156,-12163,100,2053,16136,9,1,0,-12,1497,850,-748,395
156626,648,1146,3098,-91,378,4244,-12271,69,613,19217,28,3,3,22,2988,765,-2192,105
156627,753,741,2493,-320,232,4360,-12212,171,1257,16024,2,-1,-5,-15,1512,982,-239,706
156635,785,790,2273,-151,220,4388,-12248,43,1384,15052,28,0,11,33,1700,1237,-150,789
156695,784,805,2333,-152,220,4505,-12233,29,833,15401,53,-23,-35,-57,1937,1847,-233,783
